treat,vs_12_update,vg_12_update,yearssincereg,hhinc,age,female,asian,black,latino,mideastern,nativeamer,d_miss_age,d_miss_hhinc,d_miss_gender,d_miss_race
1,0,1,3.6440794,39,50,1,0,0,0,0,0,0,0,0,0
1,1,1,1.3032169,44,57,1,0,0,0,0,0,0,0,0,0
1,1,1,3.5071869,71,44,1,0,0,0,0,0,0,0,0,0
1,1,1,.17248461,44,45,1,0,0,1,0,0,0,0,0,0
0,0,0,5.577002,39,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,4.2929502,34,46,1,0,0,0,0,0,0,0,0,0
0,1,0,.22724162,21,93,1,0,0,0,0,0,0,0,0,0
0,1,1,.8240931,51,-999,1,0,0,1,0,0,1,0,0,0
0,0,0,11.173169,62,86,1,0,0,0,0,0,0,0,0,0
1,1,1,3.7125256,31,82,1,0,0,0,0,0,0,0,0,0
0,0,0,4.2929502,39,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,5.57974,63,60,1,0,0,0,0,0,0,0,0,0
0,1,1,5.57974,42,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,3.5838466,35,52,1,0,0,0,0,0,0,0,0,0
1,1,1,3.5865846,41,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,7.5920601,50,49,1,0,0,0,0,0,0,0,0,0
1,1,1,5.577002,60,43,1,0,0,0,0,0,0,0,0,0
0,0,0,4.2929502,38,42,1,0,0,0,0,0,0,0,0,0
0,0,0,4.2929502,43,41,1,0,0,0,0,0,0,0,0,0
1,1,1,5.7303219,40,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,3.797399,65,37,1,0,0,0,0,0,0,0,0,0
1,0,0,3.5838466,63,29,1,0,0,0,0,0,0,0,0,0
0,0,0,7.9288158,35,-999,0,0,0,1,0,0,1,0,0,0
0,1,1,1.6536618,50,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,3.652293,47,-999,1,1,0,0,0,0,1,0,0,0
1,1,1,3.5865846,45,32,1,1,0,0,0,0,0,0,0,0
1,0,0,4.2929502,41,50,1,0,0,0,0,0,0,0,0,0
1,0,0,.17248461,21,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,8.2984257,62,-999,1,0,0,1,0,0,1,0,0,0
0,0,0,4.2929502,26,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,5.577002,58,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,3.652293,57,25,1,0,0,0,0,0,0,0,0,0
1,0,0,5.577002,31,45,1,0,0,0,0,0,0,0,0,0
0,1,1,5.577002,31,69,1,0,0,0,0,0,0,0,0,0
1,0,0,3.5838466,26,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,3.5838466,54,-999,1,0,0,0,0,0,1,0,0,0
1,0,1,3.5865846,50,-999,0,0,0,1,0,0,1,0,0,0
0,1,1,.8240931,52,25,1,1,0,0,0,0,0,0,0,0
0,0,0,3.5838466,37,-999,1,0,0,0,1,0,1,0,0,0
0,0,1,3.5646818,68,33,1,0,0,0,0,0,0,0,0,0
0,0,1,7.6030116,42,35,1,1,0,0,0,0,0,0,0,0
1,1,1,4.3449693,30,51,1,0,0,0,0,0,0,0,0,0
1,0,0,3.5838466,35,29,1,0,0,0,0,0,0,0,0,0
0,0,0,3.5838466,49,54,1,0,0,0,0,0,0,0,0,0
1,1,1,.17248461,35,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,4.2929502,36,26,1,0,0,0,0,0,0,0,0,0
0,1,1,.17248461,63,42,1,0,0,0,0,0,0,0,0,0
0,0,1,3.5838466,43,47,1,0,1,0,0,0,0,0,0,0
0,1,1,3.5838466,29,28,1,0,0,0,0,0,0,0,0,0
1,0,1,3.5838466,42,26,1,0,0,0,0,0,0,0,0,0
0,1,1,5.577002,21,47,1,0,0,0,0,0,0,0,0,0
1,0,1,1.1690623,40,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,5.577002,21,-999,1,0,0,0,0,0,1,0,0,0
1,0,1,3.5838466,29,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,3.652293,40,31,1,0,0,0,0,0,0,0,0,0
1,0,1,3.5838466,39,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,3.652293,54,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,3.5838466,62,32,1,0,0,0,0,0,0,0,0,0
0,0,1,3.5838466,41,28,1,0,1,0,0,0,0,0,0,0
1,0,0,7.5838466,32,41,1,0,0,0,0,0,0,0,0,0
0,1,1,3.671458,32,38,1,0,0,0,0,0,0,0,0,0
1,0,0,11.728952,60,49,1,0,0,0,0,0,0,0,0,0
1,1,1,13.587954,64,50,1,0,0,0,0,0,0,0,0,0
1,1,1,,44,74,1,0,0,0,0,0,0,0,0,0
1,1,1,.17248461,94,48,1,0,0,0,0,0,0,0,0,0
0,0,0,7.5893226,60,-999,1,0,0,1,0,0,1,0,0,0
0,0,0,13.166325,44,32,1,0,0,0,0,0,0,0,0,0
1,1,1,3.5838466,62,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,19.29911,47,53,1,0,0,0,0,0,0,0,0,0
1,0,0,3.6632442,47,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,6.1711159,60,-999,0,0,0,1,0,0,1,0,0,0
1,0,0,23.572895,55,54,1,0,0,0,0,0,0,0,0,0
0,0,0,7.5701575,32,34,1,0,0,0,0,0,0,0,0,0
1,0,0,16.503765,60,58,1,0,0,0,0,0,0,0,0,0
1,0,0,15.627652,60,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,7.5893226,65,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,4.2929502,53,49,1,0,0,0,0,0,0,0,0,0
0,0,1,7.5893226,47,37,1,0,0,0,0,0,0,0,0,0
0,0,1,11.728952,44,56,0,0,0,0,1,0,0,0,0,0
1,1,1,11.728952,60,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,9.5824776,60,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,11.728952,60,41,0,0,0,0,1,0,0,0,0,0
1,0,0,7.7727585,37,33,1,0,0,0,0,0,0,0,0,0
0,0,1,,60,52,1,0,0,0,0,0,0,0,0,0
1,1,1,19.759069,64,60,1,0,0,0,0,0,0,0,0,0
0,0,0,7.5893226,25,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,7.5701575,32,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,7.5893226,60,40,1,0,0,0,1,0,0,0,0,0
0,0,0,11.728952,60,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,15.581109,25,60,1,0,0,0,0,0,0,0,0,0
1,1,0,7.5893226,44,69,1,0,0,0,0,0,0,0,0,0
1,0,0,7.5893226,54,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,3.468857,60,46,1,0,0,0,0,0,0,0,0,0
1,0,0,19.586584,64,66,1,0,0,0,0,0,0,0,0,0
1,1,1,,60,65,1,0,0,0,0,0,0,0,0,0
1,0,1,7.5893226,43,-999,1,0,0,0,0,0,1,0,0,0
1,0,1,4.3093772,25,-999,1,0,0,0,0,0,1,0,0,0
1,0,1,7.7563314,60,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,7.5838466,60,32,1,0,0,0,0,0,0,0,0,0
