anysecrecytreatment,v_cong_general_10,v_pres_primary_12,v_cong_primary_12,v_pres_general_12,turnoutindex_12,badaddress,town1_block,town2_block,town3_block,town4_block,town5_block,town6_block,i_grp_addr_1,i_grp_addr_2,i_grp_addr_3,i_grp_addr_4,dem,rep,female,male,age_md,age_sq_md,sosplacebotreatments
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,6.7080665,2.600852,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,30.708067,29.960854,0
0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.7080662,-1.649148,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-3.2919338,-5.399148,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7.7080665,3.5108519,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,28.708067,27.240852,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6.7080665,2.600852,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-5.2919335,-6.7591476,1
1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,-.29193377,-3.2091484,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,10.708066,6.3608522,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18.708067,14.840854,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-4.2919335,-6.0891476,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,44.708065,51.240852,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-4.2919335,-6.0891476,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-.29193377,-3.2091484,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,12.708066,8.3608522,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,23.708067,20.790852,1
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,.70806623,-2.4391479,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,22.708067,19.560852,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,24.708067,22.040852,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,24.708067,22.040852,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,22.708067,19.560852,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3.7080662,-.0091485744,0
1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,.70806623,-2.4391479,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,24.708067,22.040852,1
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,22.708067,19.560852,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,37.708065,40.110851,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-.29193377,-3.2091484,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-2.2919338,-4.6891479,0
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,43.708065,49.590851,0
0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-5.2919335,-6.7591476,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3.7080662,-.0091485744,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,-4.2919335,-6.0891476,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,24.708067,22.040852,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6.7080665,2.600852,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24.708067,22.040852,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11.708066,7.350852,0
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7.7080665,3.5108519,1
0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.708066,6.3608522,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.708066,11.510852,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,25.708067,23.310852,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,15.708066,11.510852,1
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41.708065,46.350853,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.708066,5.3908529,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14.708066,10.440852,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.708066,10.440852,0
0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.708066,9.3908529,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45.708065,52.910851,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.708066,4.4408522,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13.708066,9.3908529,1
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,19.708067,15.990851,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.7080665,2.600852,0
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20.708067,17.160854,0
0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.708067,14.840854,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.708066,11.510852,0
1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,7.7080665,3.5108519,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,21.708067,18.350853,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.708066,6.3608522,0
1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,11.708066,7.350852,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28.708067,27.240852,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,14.708066,10.440852,1
1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.70806623,-2.4391479,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,40.708065,44.760853,1
