"treat","vs_12_update","vg_12_update","yearssincereg","post08reg","age_corrected","d_miss_age","hhinc_corrected","d_miss_hhinc","female","d_miss_gender","asian","black","latino","mideastern","nativeamer","d_miss_race","township_id","milwaukee"
0,0,0,4.23271751403809,0,81,0,51,0,1,0,0,0,0,0,0,0,12,0
0,1,0,3.70157432556152,0,44,0,25,0,1,0,0,1,0,0,0,0,12,0
0,1,1,0.17248460650444,1,55,0,44,0,1,0,0,0,0,0,0,0,12,0
1,0,1,4.26283359527588,0,43,0,60,0,1,0,0,0,0,0,0,0,74,0
0,1,0,2.56262826919556,1,53,0,36,0,1,0,0,0,0,0,0,0,32,0
0,0,0,2.56262826919556,1,83,0,32,0,1,0,0,0,0,0,0,0,32,0
0,0,0,0.213552355766296,1,62,0,43,0,1,0,0,0,0,0,0,0,40,0
1,1,0,0.17248460650444,1,48,0,51,0,1,0,0,0,0,0,0,0,464,0
1,0,1,4.50924015045166,0,41,0,61,0,1,0,0,0,0,0,0,0,60,0
1,0,1,0.169746741652489,1,0,1,68,0,0,0,1,0,0,0,0,0,60,0
1,1,0,1.6071183681488,1,60,0,60,0,0,0,0,0,1,0,0,0,85,0
1,0,1,0.186173856258392,1,83,0,47,0,1,0,0,0,0,0,0,0,808,0
1,0,0,3.72347712516785,0,72,0,30,0,1,0,0,0,0,0,0,0,527,0
1,1,1,0.221765920519829,1,37,0,83,0,1,0,0,0,1,0,0,0,443,0
1,0,0,4.25735807418823,0,48,0,63,0,1,0,0,0,0,0,0,0,593,0
0,0,0,4.07665967941284,0,51,0,61,0,1,0,0,0,0,0,0,0,90,0
0,1,1,0.131416842341423,1,65,0,49,0,0,0,0,0,0,1,0,0,74,0
0,0,0,3.97809720039368,0,75,0,63,0,1,0,0,0,0,0,0,0,74,0
1,1,0,4.29842567443848,0,32,0,46,0,1,0,0,0,0,0,0,0,700,0
0,0,1,3.71800136566162,0,0,1,17,0,1,0,0,0,0,0,0,0,74,0
1,1,1,3.92607808113098,0,53,0,26,0,0,0,0,1,0,0,0,0,74,0
1,0,0,1.77960300445557,1,83,0,28,0,1,0,0,0,0,0,0,0,74,0
0,1,1,0.361396312713623,1,0,1,46,0,1,0,0,0,1,0,0,0,74,0
0,0,0,0.747433245182037,1,41,0,31,0,1,0,0,0,0,0,0,0,164,0
0,0,1,0.268309384584427,1,57,0,41,0,1,0,0,0,0,0,0,0,11,0
1,1,0,0.17248460650444,1,38,0,48,0,1,0,0,0,0,0,0,0,665,0
1,0,0,4.26283359527588,0,67,0,61,0,1,0,0,0,0,0,0,0,74,0
0,0,0,3.63860368728638,0,68,0,44,0,1,0,0,0,0,0,0,0,737,0
0,0,0,3.66598224639893,0,48,0,35,0,1,0,0,0,0,0,0,0,75,0
1,0,1,0.281998634338379,1,43,0,30,0,0,0,1,0,0,0,0,0,148,0
0,0,0,0.17248460650444,1,48,0,31,0,1,0,0,0,0,0,0,0,51,0
0,0,0,4.29568767547607,0,25,0,66,0,1,0,0,0,0,0,0,0,684,0
1,0,0,3.7125256061554,0,43,0,50,0,1,0,0,0,0,0,0,0,239,0
1,0,0,3.63860368728638,0,69,0,29,0,1,0,0,0,1,0,0,0,51,0
1,0,1,4.00821352005005,0,73,0,44,0,1,0,0,0,0,0,0,0,155,0
0,0,1,3.94250512123108,0,0,1,49,0,1,0,0,0,0,0,0,0,366,0
0,0,0,4.0191650390625,0,50,0,43,0,1,0,0,0,0,0,0,0,338,0
0,0,0,4.58042430877686,0,48,0,49,0,1,0,0,0,0,0,0,0,159,0
0,0,0,3.6413414478302,0,36,0,26,0,1,0,0,0,0,0,0,0,114,0
0,0,0,3.72347712516785,0,65,0,44,0,1,0,0,0,0,0,0,0,238,0
1,0,0,0.17248460650444,1,0,1,27,0,1,0,0,0,0,0,0,0,68,0
0,0,1,3.96714568138123,0,65,0,40,0,1,0,0,0,0,0,0,0,14,0
0,0,1,4.08487319946289,0,46,0,41,0,1,0,0,0,0,0,0,0,188,0
1,0,0,3.71800136566162,0,0,1,46,0,1,0,0,0,0,0,0,0,778,0
0,0,0,3.9644079208374,0,61,0,32,0,1,0,0,0,0,0,0,0,39,0
1,0,0,4.08487319946289,0,0,1,36,0,1,0,0,0,0,0,0,0,39,0
1,0,0,4.29568767547607,0,77,0,43,0,1,0,0,0,0,0,0,0,4,0
0,0,1,3.58658456802368,1,58,0,32,0,1,0,0,0,0,0,0,0,24,0
0,0,0,2.72142362594604,1,88,0,27,0,1,0,0,0,0,0,0,0,82,0
1,1,1,0.208076655864716,1,0,1,37,0,1,0,0,0,0,0,0,0,853,0
0,1,1,0.440793991088867,1,61,0,14,0,1,0,0,0,0,0,0,0,9,0
0,0,0,4.31211519241333,0,72,0,41,0,1,0,0,0,0,0,0,0,174,0
0,0,1,3.7125256061554,0,35,0,27,0,1,0,0,0,0,0,0,0,10,0
1,0,0,3.65776872634888,0,49,0,35,0,1,0,0,0,0,0,0,0,752,0
1,0,0,3.70157432556152,0,46,0,34,0,1,0,0,0,0,0,0,0,68,0
0,0,1,3.63860368728638,0,62,0,34,0,1,0,0,0,0,0,0,0,207,0
1,0,0,4.07939767837524,0,89,0,29,0,1,0,0,0,0,0,0,0,134,0
1,0,0,3.58384656906128,1,0,1,36,0,1,0,0,0,0,0,0,0,224,0
1,0,0,4.07939767837524,0,42,0,30,0,1,0,0,0,0,0,0,0,547,0
0,0,0,4.00821352005005,0,95,0,28,0,1,0,0,0,0,0,0,0,144,0
0,0,0,2.37097883224487,1,48,0,61,0,1,0,0,0,1,0,0,0,350,0
0,0,0,3.66872000694275,0,57,0,45,0,1,0,0,0,1,0,0,0,276,0
1,1,1,0.131416842341423,1,70,0,43,0,1,0,0,0,0,0,0,0,44,0
